            1024           0.0078            0.841           10.090
            2048           0.0156            1.681           20.169
            4096           0.0312            3.569           42.831
            8192           0.0625            7.126           85.507
           16384           0.1250           14.174          170.085
           32768           0.2500           27.159          325.904
           65536           0.5000           50.404          604.845
          131072           1.0000           87.905         1054.859
          262144           2.0000          124.235         1490.820
          524288           4.0000          114.923         1379.080
         1048576           8.0000           92.921         1115.054
         2097152          16.0000          100.859         1210.314
         4194304          32.0000          105.160         1261.918
         8388608          64.0000          107.330         1287.961
        16777216         128.0000          108.426         1301.113
        33554432         256.0000          108.934         1307.211
        67108864         512.0000          109.284         1311.410
       134217728        1024.0000          109.770         1317.243
       268435456        2048.0000          110.077         1320.920
       536870912        4096.0000          110.396         1324.749
      1073741824        8192.0000          110.525         1326.306
