            1024           0.0078            0.067            0.803
            2048           0.0156            0.079            0.950
            4096           0.0312            0.160            1.924
            8192           0.0625            0.475            5.703
           16384           0.1250            0.821            9.854
           32768           0.2500            1.746           20.951
           65536           0.5000            3.762           45.142
          131072           1.0000            5.041           60.494
          262144           2.0000           15.105          181.258
          524288           4.0000           21.996          263.947
         1048576           8.0000           27.067          324.802
         2097152          16.0000           62.541          750.492
         4194304          32.0000           62.530          750.355
         8388608          64.0000           80.542          966.504
        16777216         128.0000          101.360         1216.317
        33554432         256.0000          105.414         1264.965
        67108864         512.0000          106.799         1281.591
       134217728        1024.0000          108.412         1300.946
       268435456        2048.0000          109.651         1315.813
       536870912        4096.0000          109.818         1317.815
      1073741824        8192.0000          110.066         1320.790
