            1024           0.0078            0.002            0.028
            2048           0.0156            0.005            0.058
            4096           0.0312            0.010            0.116
            8192           0.0625            0.019            0.228
           16384           0.1250            0.039            0.468
           32768           0.2500            0.074            0.888
           65536           0.5000            0.153            1.832
          131072           1.0000            0.277            3.327
          262144           2.0000            0.493            5.919
          524288           4.0000            0.917           11.001
         1048576           8.0000            1.447           17.361
         2097152          16.0000            2.207           26.484
         4194304          32.0000            2.918           35.017
         8388608          64.0000            3.429           41.147
        16777216         128.0000            3.779           45.345
        33554432         256.0000            2.084           25.004
        67108864         512.0000            2.132           25.583
       134217728        1024.0000            1.715           20.576
       268435456        2048.0000            1.719           20.627
