            1024           0.0078            0.092            1.106
            2048           0.0156            0.191            2.293
            4096           0.0312            0.377            4.521
            8192           0.0625            0.737            8.840
           16384           0.1250            1.457           17.488
           32768           0.2500            2.816           33.793
           65536           0.5000            5.464           65.568
          131072           1.0000           10.246          122.955
          262144           2.0000           19.254          231.044
          524288           4.0000           32.265          387.185
         1048576           8.0000           50.621          607.447
         2097152          16.0000           68.873          826.473
         4194304          32.0000           84.543         1014.518
         8388608          64.0000           92.177         1106.123
        16777216         128.0000           98.624         1183.493
        33554432         256.0000          101.152         1213.824
        67108864         512.0000          102.609         1231.305
       134217728        1024.0000          103.258         1239.091
       268435456        2048.0000          103.691         1244.289
       536870912        4096.0000          103.947         1247.366
      1073741824        8192.0000          104.607         1255.280
