            1024           0.0078            0.828            9.940
            2048           0.0156            1.707           20.479
            4096           0.0312            3.163           37.959
            8192           0.0625            6.867           82.409
           16384           0.1250           13.614          163.373
           32768           0.2500           27.170          326.040
           65536           0.5000           52.756          633.067
          131072           1.0000           81.230          974.755
          262144           2.0000          117.122         1405.466
          524288           4.0000          110.380         1324.558
         1048576           8.0000           88.669         1064.023
         2097152          16.0000           97.727         1172.729
         4194304          32.0000          101.828         1221.932
         8388608          64.0000          101.228         1214.731
        16777216         128.0000          101.927         1223.127
        33554432         256.0000          102.609         1231.311
        67108864         512.0000          103.459         1241.512
       134217728        1024.0000          103.554         1242.654
       268435456        2048.0000          103.854         1246.251
       536870912        4096.0000          104.141         1249.693
      1073741824        8192.0000          104.781         1257.371
