            1024           0.0078            0.179            2.151
            2048           0.0156            0.359            4.309
            4096           0.0312            0.710            8.514
            8192           0.0625            1.424           17.093
           16384           0.1250            2.848           34.178
           32768           0.2500            5.620           67.445
           65536           0.5000           10.976          131.714
          131072           1.0000           21.027          252.323
          262144           2.0000           39.774          477.291
          524288           4.0000           73.623          883.473
         1048576           8.0000          122.151         1465.813
         2097152          16.0000          103.180         1238.165
         4194304          32.0000           98.227         1178.727
         8388608          64.0000          106.139         1273.669
        16777216         128.0000          110.929         1331.152
        33554432         256.0000          110.492         1325.910
        67108864         512.0000          111.188         1334.258
       134217728        1024.0000          112.033         1344.391
       268435456        2048.0000          111.997         1343.959
       536870912        4096.0000          112.189         1346.269
      1073741824        8192.0000          112.424         1349.090
