            1024           0.0078            0.219            2.627
            2048           0.0156            0.439            5.266
            4096           0.0312            0.870           10.444
            8192           0.0625            1.722           20.663
           16384           0.1250            3.450           41.401
           32768           0.2500            6.706           80.469
           65536           0.5000           13.311          159.730
          131072           1.0000           25.658          307.893
          262144           2.0000           49.304          591.650
          524288           4.0000           87.812         1053.740
         1048576           8.0000          145.804         1749.643
         2097152          16.0000          102.946         1235.354
         4194304          32.0000           99.196         1190.352
         8388608          64.0000          106.327         1275.921
        16777216         128.0000          109.909         1318.907
        33554432         256.0000          113.472         1361.658
        67108864         512.0000          112.399         1348.786
       134217728        1024.0000          113.187         1358.239
       268435456        2048.0000          113.412         1360.941
       536870912        4096.0000          113.267         1359.205
      1073741824        8192.0000          113.545         1362.535
