            1024           0.0078            0.133            1.600
            2048           0.0156            0.259            3.108
            4096           0.0312            0.515            6.174
            8192           0.0625            1.035           12.423
           16384           0.1250            2.077           24.926
           32768           0.2500            4.121           49.457
           65536           0.5000            8.118           97.411
          131072           1.0000           15.619          187.427
          262144           2.0000           28.509          342.104
          524288           4.0000           51.957          623.482
         1048576           8.0000           92.355         1108.257
         2097152          16.0000           88.090         1057.080
         4194304          32.0000           92.877         1114.524
         8388608          64.0000          103.373         1240.478
        16777216         128.0000          109.590         1315.078
        33554432         256.0000          112.903         1354.833
        67108864         512.0000          111.931         1343.169
       134217728        1024.0000          112.795         1353.537
       268435456        2048.0000          113.278         1359.340
       536870912        4096.0000          113.431         1361.166
      1073741824        8192.0000          113.555         1362.663
