            1024           0.0078            0.163            1.958
            2048           0.0156            0.329            3.945
            4096           0.0312            0.659            7.908
            8192           0.0625            1.316           15.790
           16384           0.1250            2.587           31.041
           32768           0.2500            5.076           60.913
           65536           0.5000            9.859          118.307
          131072           1.0000           17.981          215.768
          262144           2.0000           30.445          365.337
          524288           4.0000           47.324          567.885
         1048576           8.0000           63.472          761.659
         2097152          16.0000           79.528          954.330
         4194304          32.0000           92.373         1108.477
         8388608          64.0000           96.445         1157.337
        16777216         128.0000           99.390         1192.680
        33554432         256.0000          101.174         1214.084
        67108864         512.0000          102.427         1229.120
       134217728        1024.0000          103.251         1239.013
       268435456        2048.0000          103.683         1244.194
       536870912        4096.0000          104.004         1248.050
      1073741824        8192.0000          104.709         1256.508
