            1024           0.0078            0.174            2.083
            2048           0.0156            0.346            4.156
            4096           0.0312            0.693            8.311
            8192           0.0625            1.356           16.272
           16384           0.1250            2.667           32.007
           32768           0.2500            5.196           62.357
           65536           0.5000            9.972          119.670
          131072           1.0000           18.445          221.337
          262144           2.0000           31.363          376.360
          524288           4.0000           48.000          575.997
         1048576           8.0000           66.060          792.717
         2097152          16.0000           83.225          998.698
         4194304          32.0000           94.706         1136.476
         8388608          64.0000          101.719         1220.633
        16777216         128.0000          105.396         1264.752
        33554432         256.0000          107.433         1289.200
        67108864         512.0000          108.490         1301.880
       134217728        1024.0000          109.351         1312.216
       268435456        2048.0000          109.791         1317.487
       536870912        4096.0000          110.207         1322.483
      1073741824        8192.0000          110.448         1325.374
