            1024           0.0078            0.172            2.062
            2048           0.0156            0.346            4.149
            4096           0.0312            0.687            8.241
            8192           0.0625            1.366           16.386
           16384           0.1250            2.693           32.311
           32768           0.2500            5.243           62.919
           65536           0.5000           10.311          123.734
          131072           1.0000           18.343          220.112
          262144           2.0000           30.408          364.897
          524288           4.0000           47.727          572.725
         1048576           8.0000           65.126          781.508
         2097152          16.0000           81.928          983.131
         4194304          32.0000           92.956         1115.467
         8388608          64.0000           99.352         1192.224
        16777216         128.0000          105.217         1262.600
        33554432         256.0000          105.689         1268.268
        67108864         512.0000          105.998         1271.972
       134217728        1024.0000          106.331         1275.968
       268435456        2048.0000          106.105         1273.254
       536870912        4096.0000          105.751         1269.008
      1073741824        8192.0000          105.790         1269.484
