            1024           0.0078            0.224            2.684
            2048           0.0156            0.416            4.991
            4096           0.0312            0.718            8.612
            8192           0.0625            1.100           13.200
           16384           0.1250            2.632           31.584
           32768           0.2500            5.144           61.729
           65536           0.5000            9.919          119.029
          131072           1.0000           17.122          205.468
          262144           2.0000           27.601          331.208
          524288           4.0000           40.593          487.118
         1048576           8.0000           50.818          609.813
         2097152          16.0000           59.675          716.096
         4194304          32.0000           65.429          785.149
         8388608          64.0000           68.220          818.638
        16777216         128.0000           69.648          835.781
        33554432         256.0000           70.514          846.168
        67108864         512.0000           70.850          850.201
       134217728        1024.0000           71.069          852.825
       268435456        2048.0000           71.170          854.046
       536870912        4096.0000           71.317          855.807
      1073741824        8192.0000           71.204          854.442
