          0.0078            0.580            6.954
          0.0156            1.144           13.725
          0.0312            2.188           26.251
          0.0625            4.235           50.821
          0.1250            8.715          104.585
          0.2500           16.532          198.388
          0.5000           30.701          368.407
          1.0000           56.168          674.020
          2.0000           95.003         1140.042
          4.0000          148.640         1783.678
          8.0000          206.599         2479.186
         16.0000          120.023         1440.274
         32.0000          108.049         1296.587
         64.0000          112.331         1347.970
        128.0000          114.448         1373.381
        256.0000          115.074         1380.892
        512.0000          113.234         1358.809
       1024.0000          113.393         1360.712
       2048.0000          113.523         1362.280
       4096.0000          113.529         1362.351
       8192.0000          113.618         1363.419
