            1024           0.0078            0.777            9.321
            2048           0.0156            1.373           16.471
            4096           0.0312            2.749           32.992
            8192           0.0625            5.504           66.045
           16384           0.1250           10.837          130.049
           32768           0.2500           21.765          261.185
           65536           0.5000           42.670          512.040
          131072           1.0000           71.520          858.242
          262144           2.0000          124.640         1495.681
          524288           4.0000          196.421         2357.048
         1048576           8.0000          270.561         3246.730
         2097152          16.0000          124.986         1499.833
         4194304          32.0000          108.433         1301.199
         8388608          64.0000          111.445         1337.346
        16777216         128.0000          114.459         1373.507
        33554432         256.0000          114.478         1373.739
        67108864         512.0000          113.343         1360.113
       134217728        1024.0000          113.445         1361.344
       268435456        2048.0000          113.618         1363.414
       536870912        4096.0000          113.618         1363.418
      1073741824        8192.0000          113.678         1364.139
