          0.0078            0.207            2.489
          0.0156            0.423            5.074
          0.0312            0.845           10.138
          0.0625            1.696           20.352
          0.1250            3.299           39.592
          0.2500            6.733           80.801
          0.5000           13.432          161.187
          1.0000           26.962          323.547
          2.0000           54.120          649.435
          4.0000          109.193         1310.319
          8.0000          205.974         2471.688
         16.0000          118.615         1423.375
         32.0000          108.315         1299.786
         64.0000          112.415         1348.974
        128.0000          114.507         1374.088
        256.0000          115.297         1383.568
        512.0000          113.196         1358.355
       1024.0000          113.460         1361.515
       2048.0000          113.606         1363.268
       4096.0000          113.596         1363.151
       8192.0000          113.662         1363.943
