            1024           0.0078            0.199            2.391
            2048           0.0156            0.396            4.757
            4096           0.0312            0.797            9.560
            8192           0.0625            1.579           18.953
           16384           0.1250            3.158           37.900
           32768           0.2500            6.269           75.225
           65536           0.5000           12.302          147.629
          131072           1.0000           23.825          285.895
          262144           2.0000           44.647          535.767
          524288           4.0000           84.131         1009.569
         1048576           8.0000          143.477         1721.723
         2097152          16.0000          106.822         1281.863
         4194304          32.0000           98.433         1181.192
         8388608          64.0000          106.028         1272.341
        16777216         128.0000          110.885         1330.615
        33554432         256.0000          110.980         1331.765
        67108864         512.0000          111.349         1336.185
       134217728        1024.0000          111.913         1342.952
       268435456        2048.0000          112.078         1344.935
       536870912        4096.0000          112.139         1345.664
      1073741824        8192.0000          112.419         1349.032
