            1024           0.0078            0.217            2.602
            2048           0.0156            0.426            5.115
            4096           0.0312            0.850           10.199
            8192           0.0625            1.686           20.232
           16384           0.1250            3.369           40.431
           32768           0.2500            6.674           80.086
           65536           0.5000           13.315          159.780
          131072           1.0000           25.374          304.486
          262144           2.0000           47.496          569.956
          524288           4.0000           86.858         1042.301
         1048576           8.0000          144.461         1733.529
         2097152          16.0000          104.756         1257.069
         4194304          32.0000           99.544         1194.525
         8388608          64.0000          106.619         1279.423
        16777216         128.0000          111.955         1343.465
        33554432         256.0000          113.321         1359.851
        67108864         512.0000          112.534         1350.405
       134217728        1024.0000          113.101         1357.216
       268435456        2048.0000          113.438         1361.260
       536870912        4096.0000          113.516         1362.191
      1073741824        8192.0000          113.609         1363.305
