            1024           0.0078            0.066            0.789
            2048           0.0156            0.134            1.606
            4096           0.0312            0.262            3.147
            8192           0.0625            0.533            6.398
           16384           0.1250            1.056           12.667
           32768           0.2500            2.112           25.347
           65536           0.5000            4.248           50.982
          131072           1.0000            7.969           95.629
          262144           2.0000           15.602          187.227
          524288           4.0000           29.579          354.947
         1048576           8.0000           52.537          630.448
         2097152          16.0000           66.389          796.673
         4194304          32.0000           79.450          953.405
         8388608          64.0000           94.381         1132.578
        16777216         128.0000          104.266         1251.192
        33554432         256.0000          109.996         1319.957
        67108864         512.0000          110.516         1326.190
       134217728        1024.0000          112.069         1344.826
       268435456        2048.0000          112.893         1354.720
       536870912        4096.0000          112.619         1351.427
      1073741824        8192.0000          113.474         1361.685
